Pharmacy Date Registered,Pharmacy Date Registered,Pharmacy Date Registered,Pharmacy Date Registered,Pharmacy Date Registered,Pharmacy Date Registered,Pharmacy Date Registered,Pharmacy Date Registered,Pharmacy Date Registered,Pharmacy Date Registered,Pharmacy Date Registered,Pharmacy Date Registered
County,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Grand Total
Co. Carlow,16,,2,1,,,2,1,1,2,2,27
Co. Cavan,18,,,3,1,2,1,4,1,2,2,34
Co. Clare,23,1,,3,1,3,1,2,4,2,4,44
Co. Cork,95,5,10,3,12,8,11,23,15,8,29,219
Co. Donegal,33,2,2,2,1,,1,4,3,4,11,63
Co. Dublin,52,1,2,3,1,3,12,4,14,15,12,119
Co. Galway,58,3,2,,7,5,7,6,11,8,8,115
Co. Kerry,36,3,1,,1,5,2,3,1,4,8,64
Co. Kildare,34,,4,3,11,1,7,3,5,2,8,78
Co. Kilkenny,16,,4,,,,3,3,3,3,5,37
Co. Laois,13,1,3,,4,,3,1,,3,3,31
Co. Leitrim,7,1,,,,,2,4,,,2,16
Co. Limerick,44,1,2,4,2,1,7,7,7,10,10,95
Co. Longford,9,1,2,1,1,,,,,3,2,19
Co. Louth,32,2,4,,1,3,1,5,5,6,7,66
Co. Mayo,37,2,1,1,2,1,2,3,2,2,9,62
Co. Meath,26,1,2,,2,1,5,4,4,9,7,61
Co. Monaghan,16,,1,,1,,1,2,,,2,23
Co. Offaly,16,,,,,,1,2,1,4,6,30
Co. Roscommon,12,,,3,,,4,1,1,,2,23
Co. Sligo,10,,1,3,,1,2,5,1,3,4,30
Co. Tipperary,37,2,2,4,2,1,,5,5,6,11,75
Co. Waterford,26,2,2,1,2,2,3,2,2,3,3,48
Co. Westmeath,21,5,,,2,2,1,4,3,,5,43
Co. Wexford,28,2,2,2,3,1,4,3,3,4,6,58
Co. Wicklow,24,1,,,1,,5,8,5,,11,55
Dublin 1,9,,,1,,1,2,1,,2,6,22
Dublin 10,5,,,,,,,1,1,2,,9
Dublin 11,8,,,1,3,,2,,1,,2,17
Dublin 12,9,,,,,1,1,4,3,3,3,24
Dublin 13,4,,1,,,,,1,,1,1,8
Dublin 14,9,,1,,,1,,,1,2,3,17
Dublin 15,18,,1,1,,,2,,,1,2,25
Dublin 16,4,,,,,2,2,1,1,2,1,13
Dublin 17,3,,,,,,2,1,,1,1,8
Dublin 18,9,1,,,,,1,,,,6,17
Dublin 2,11,,,,,2,,1,2,3,4,23
Dublin 20,5,,1,,,,,,,,1,7
Dublin 22,8,,,,,,,2,1,1,3,15
Dublin 24,15,,,,2,1,2,1,1,1,3,26
Dublin 3,12,,1,2,,1,,,1,,2,19
Dublin 4,12,,,1,,1,,1,,,3,18
Dublin 5,17,,,1,,,,1,2,1,3,25
Dublin 6,13,,1,1,1,,1,,1,1,1,20
Dublin 6W,4,,2,,,,1,,2,,2,11
Dublin 7,12,1,,,,,2,4,1,,3,23
Dublin 8,14,,1,1,1,1,2,,3,1,3,27
Dublin 9,15,,1,1,,1,4,,1,1,2,26
Grand Total,955,38,59,47,65,52,112,128,119,126,234,"1,935"
